date,temperature_max_c,temperature_min_c,humidity_percent,wind_speed_kmh,precipitation_mm,cloud_cover_okta,weather_condition
2025-01-01,26.4,21.0,58,19.3,0.0,3,partly cloudy
2025-01-02,25.9,20.0,56,19.0,0.0,1,sunny
2025-01-03,27.6,19.0,52,15.9,0.0,1,sunny
2025-01-04,25.5,17.0,61,14.2,0.0,4,partly cloudy
2025-01-05,25.0,19.8,64,19.6,0.0,1,sunny
2025-01-06,24.6,19.0,68,17.0,0.0,0,sunny
2025-01-07,25.9,18.9,63,14.9,0.0,0,sunny
2025-01-08,27.5,18.0,70,14.5,0.0,0,sunny
2025-01-09,26.5,19.0,70,14.2,0.0,0,sunny
2025-01-10,35.3,19.0,68,12.8,0.0,0,sunny
2025-01-11,29.9,20.4,54,15.0,0.0,0,sunny
2025-01-12,28.6,19.0,61,12.4,0.0,0,sunny
2025-01-13,25.5,18.5,78,13.3,0.0,1,sunny
2025-01-14,25.9,18.7,76,15.8,0.0,2,mostly sunny
2025-01-15,25.4,18.6,78,15.3,0.0,3,partly cloudy
2025-01-16,28.0,19.0,63,15.0,0.0,3,partly cloudy
2025-01-17,24.8,18.8,59,17.8,0.0,4,partly cloudy
2025-01-18,23.5,18.0,56,21.6,0.0,6,mostly cloudy
2025-01-19,24.6,18.6,61,17.7,0.0,5,mostly cloudy
2025-01-20,24.0,17.0,71,16.2,0.0,3,partly cloudy
2025-01-21,25.6,17.0,76,13.0,0.0,1,sunny
2025-01-22,23.0,18.0,83,13.3,0.0,2,mostly sunny
2025-01-23,23.4,18.9,81,21.0,0.0,3,partly cloudy
2025-01-24,23.7,18.8,81,19.1,0.0,3,partly cloudy
2025-01-25,24.2,18.5,78,17.8,0.0,3,partly cloudy
2025-01-26,24.0,18.7,78,18.5,0.0,0,sunny
2025-01-27,24.6,18.0,78,17.5,0.0,0,sunny
2025-01-28,29.1,18.0,64,16.0,0.0,0,sunny
2025-01-29,25.9,20.0,58,18.8,0.0,0,sunny
2025-01-30,26.0,18.0,62,18.8,0.0,0,sunny
2025-01-31,25.2,18.3,63,20.7,0.0,0,sunny
2025-02-01,24.0,17.6,67,20.4,0.0,0,sunny
2025-02-02,24.3,17.0,57,19.4,0.0,0,sunny
2025-02-03,23.4,16.8,56,19.6,0.0,1,sunny
2025-02-04,22.4,15.8,72,17.8,0.0,4,partly cloudy
2025-02-05,24.2,16.0,69,16.3,0.0,3,partly cloudy
2025-02-06,26.0,15.7,62,16.6,0.0,0,sunny
2025-02-07,24.3,16.3,61,18.1,0.0,0,sunny
2025-02-08,25.3,16.2,62,18.8,0.0,1,sunny
2025-02-09,24.5,17.5,65,17.6,0.0,2,mostly sunny
2025-02-10,24.9,17.5,78,15.2,0.0,2,mostly sunny
2025-02-11,23.0,17.5,82,16.1,0.0,2,mostly sunny
2025-02-12,22.9,18.0,85,16.6,0.0,5,mostly cloudy
2025-02-13,22.7,18.0,88,13.7,0.0,4,partly cloudy
2025-02-14,22.5,17.9,85,11.8,0.0,3,partly cloudy
2025-02-15,24.0,18.4,84,14.4,0.0,5,mostly cloudy
2025-02-16,23.3,17.7,87,19.3,0.0,5,mostly cloudy
2025-02-17,23.3,17.9,85,17.1,0.0,3,partly cloudy
2025-02-18,23.0,17.6,84,20.0,0.0,2,mostly sunny
2025-02-19,23.0,17.4,82,18.8,0.0,2,mostly sunny
2025-02-20,25.0,17.5,75,17.9,0.0,2,mostly sunny
2025-02-21,23.4,17.7,80,17.6,0.0,0,sunny
2025-02-22,29.0,17.6,60,17.7,0.0,0,sunny
2025-02-23,28.7,17.6,59,20.0,0.0,0,sunny
2025-02-24,26.2,18.8,59,19.4,0.0,0,sunny
2025-02-25,26.1,18.5,57,17.6,0.0,0,sunny
2025-02-26,26.4,18.0,51,19.1,0.0,0,sunny
2025-02-27,29.2,17.6,58,13.8,0.0,0,sunny
2025-02-28,24.0,18.3,76,14.6,0.0,3,partly cloudy
2025-03-01,23.9,19.5,82,15.2,0.0,6,mostly cloudy
2025-03-02,23.7,19.9,80,19.0,0.3,7,light rain
2025-03-03,23.7,19.0,76,18.2,0.0,7,cloudy
2025-03-04,22.6,18.8,80,20.5,0.0,6,mostly cloudy
2025-03-05,23.9,18.6,77,18.3,0.0,3,partly cloudy
2025-03-06,22.8,18.8,72,23.1,0.0,5,mostly cloudy
2025-03-07,23.2,18.0,80,19.1,0.0,2,mostly sunny
2025-03-08,23.5,18.0,77,20.9,0.0,2,mostly sunny
2025-03-09,23.4,18.0,77,18.5,0.0,3,partly cloudy
2025-03-10,23.0,18.0,81,20.6,0.0,2,mostly sunny
2025-03-11,23.8,18.0,81,20.7,0.0,1,sunny
2025-03-12,24.1,18.8,80,21.0,0.0,1,sunny
2025-03-13,23.8,18.5,81,20.9,0.0,1,sunny
2025-03-14,24.3,18.7,81,19.6,,2,mostly sunny
2025-03-15,24.2,18.7,80,20.7,0.0,1,sunny
2025-03-16,24.9,19.6,77,20.2,0.0,1,sunny
2025-03-17,25.5,19.0,75,18.3,,0,sunny
2025-03-18,25.7,19.6,76,19.8,0.0,1,sunny
2025-03-19,24.0,19.0,79,17.9,0.0,1,sunny
2025-03-20,23.8,18.8,81,21.8,0.0,1,sunny
2025-03-21,23.7,18.4,83,21.3,0.0,2,mostly sunny
2025-03-22,24.2,19.0,84,20.7,0.0,2,mostly sunny
2025-03-23,25.1,19.5,76,19.4,0.0,1,sunny
2025-03-24,24.5,19.0,74,18.7,0.0,0,sunny
2025-03-25,23.5,19.0,76,18.2,0.0,0,sunny
2025-03-26,24.4,18.9,79,19.7,0.0,0,sunny
2025-03-27,23.6,18.0,81,19.2,0.0,3,partly cloudy
2025-03-28,23.6,18.3,82,19.2,0.0,5,mostly cloudy
2025-03-29,23.0,18.5,82,19.4,0.0,6,mostly cloudy
2025-03-30,23.6,18.6,79,21.9,0.0,5,mostly cloudy
2025-03-31,24.1,18.4,80,22.5,0.0,3,partly cloudy
2025-04-01,23.7,18.6,80,23.1,0.0,2,mostly sunny
2025-04-02,23.4,18.0,83,21.0,0.0,1,sunny
2025-04-03,23.3,18.0,81,20.2,0.0,1,sunny
2025-04-04,23.3,18.0,81,19.7,0.0,2,mostly sunny
2025-04-05,24.4,18.8,81,17.7,0.0,2,mostly sunny
2025-04-06,25.1,19.0,74,22.3,0.0,1,sunny
2025-04-07,25.0,18.9,79,17.9,0.0,1,sunny
2025-04-08,26.1,17.0,75,16.3,0.0,1,sunny
2025-04-09,24.0,20.0,78,19.7,0.0,1,sunny
2025-04-10,24.0,18.6,87,16.5,0.0,3,partly cloudy
2025-04-11,24.4,19.0,84,18.2,0.0,5,mostly cloudy
2025-04-12,24.5,19.8,82,20.6,0.0,5,mostly cloudy
2025-04-13,24.8,19.6,81,19.4,0.0,3,partly cloudy
2025-04-14,25.0,19.3,84,19.4,0.0,3,partly cloudy
2025-04-15,25.4,19.8,83,18.0,0.0,4,partly cloudy
2025-04-16,26.5,20.4,78,16.2,0.0,2,mostly sunny
2025-04-17,25.8,20.6,79,16.5,0.0,1,sunny
2025-04-18,25.4,20.0,82,16.0,0.0,2,mostly sunny
2025-04-19,26.9,20.7,82,18.6,0.0,3,partly cloudy
2025-04-20,27.7,20.9,80,18.0,0.0,3,partly cloudy
2025-04-21,27.9,21.5,69,23.2,0.0,3,partly cloudy
2025-04-22,26.5,20.9,78,17.2,0.0,2,mostly sunny
2025-04-23,26.6,20.5,80,19.2,0.0,1,sunny
2025-04-24,26.5,20.7,78,18.4,0.0,1,sunny
2025-04-25,27.0,21.0,78,15.1,0.0,3,partly cloudy
2025-04-26,26.0,20.6,82,11.5,0.0,5,mostly cloudy
2025-04-27,26.4,21.0,82,10.6,0.0,6,mostly cloudy
2025-04-28,26.0,21.0,86,10.7,0.0,6,mostly cloudy
2025-04-29,25.3,20.7,85,15.4,0.0,6,mostly cloudy
2025-04-30,25.2,20.2,83,16.2,0.0,4,partly cloudy
2025-05-01,25.4,21.0,83,12.2,0.0,3,partly cloudy
2025-05-02,26.0,20.8,83,13.8,0.0,4,partly cloudy
2025-05-03,26.7,21.0,82,14.8,0.0,5,mostly cloudy
2025-05-04,28.7,22.0,74,18.1,0.0,4,partly cloudy
2025-05-05,27.2,22.4,73,15.3,0.0,2,mostly sunny
2025-05-06,29.3,22.4,68,18.5,0.0,2,mostly sunny
2025-05-07,26.6,22.6,78,17.8,0.0,5,mostly cloudy
2025-05-08,27.1,21.7,79,21.9,0.0,2,mostly sunny
2025-05-09,26.5,21.1,80,16.4,0.0,1,sunny
2025-05-10,26.5,21.8,77,20.1,0.0,2,mostly sunny
2025-05-11,26.6,21.8,77,22.6,0.0,2,mostly sunny
2025-05-12,25.0,21.0,80,20.1,0.0,1,sunny
2025-05-13,25.6,21.0,80,16.5,0.0,2,mostly sunny
2025-05-14,26.0,21.0,80,17.1,0.0,4,partly cloudy
2025-05-15,26.0,21.0,78,17.6,0.0,1,sunny
2025-05-16,26.0,21.0,78,14.3,0.0,1,sunny
2025-05-17,25.2,20.0,82,17.4,0.0,3,partly cloudy
2025-05-18,24.8,20.0,82,17.4,0.0,4,partly cloudy
2025-05-19,25.4,20.0,86,16.0,0.0,4,partly cloudy
2025-05-20,25.6,20.8,86,14.5,0.0,3,partly cloudy
2025-05-21,26.0,21.0,85,12.8,0.0,3,partly cloudy
2025-05-22,28.0,22.2,78,11.1,0.0,3,partly cloudy
2025-05-23,29.8,23.0,84,14.8,0.0,5,mostly cloudy
2025-05-24,29.1,23.5,84,9.1,0.0,5,mostly cloudy
2025-05-25,26.8,23.0,84,14.7,0.0,4,partly cloudy
2025-05-26,28.0,22.7,82,17.3,0.0,2,mostly sunny
2025-05-27,28.6,23.4,70,10.6,0.0,0,sunny
2025-05-28,29.3,24.0,80,11.5,0.0,0,sunny
2025-05-29,27.8,23.5,79,12.4,0.0,3,partly cloudy
2025-05-30,27.7,23.0,82,14.5,0.0,3,partly cloudy
2025-05-31,29.5,22.0,83,9.3,0.0,2,mostly sunny
2025-06-01,29.0,23.5,81,13.2,0.0,4,partly cloudy
2025-06-02,28.3,23.6,86,12.7,0.0,4,partly cloudy
2025-06-03,28.8,24.0,81,13.8,0.0,3,partly cloudy
2025-06-04,28.2,24.0,77,11.6,0.0,0,sunny
2025-06-05,29.8,24.9,80,14.1,0.0,2,mostly sunny
2025-06-06,28.7,24.6,80,12.0,0.0,2,mostly sunny
2025-06-07,29.6,24.0,76,16.9,0.0,1,sunny
2025-06-08,28.5,24.0,78,17.0,0.0,2,mostly sunny
2025-06-09,28.9,24.0,80,18.6,0.0,4,partly cloudy
2025-06-10,28.3,23.6,77,15.1,0.0,3,partly cloudy
2025-06-11,28.8,23.9,80,12.7,0.0,4,partly cloudy
2025-06-12,30.2,23.8,80,9.2,0.0,4,partly cloudy
2025-06-13,30.3,24.6,81,9.0,0.0,4,partly cloudy
2025-06-14,31.1,26.0,76,12.7,0.0,4,partly cloudy
2025-06-15,28.5,24.6,78,16.2,0.0,4,partly cloudy
2025-06-16,28.9,24.0,79,10.8,0.0,4,partly cloudy
2025-06-17,30.5,24.7,76,10.9,0.0,4,partly cloudy
2025-06-18,29.5,25.0,77,15.6,0.0,5,mostly cloudy
2025-06-19,29.0,24.5,78,16.6,0.0,4,partly cloudy
2025-06-20,29.3,24.0,74,12.5,0.0,6,mostly cloudy
2025-06-21,29.0,24.4,73,12.6,0.0,6,mostly cloudy
2025-06-22,30.4,24.9,74,11.8,0.0,4,partly cloudy
2025-06-23,30.0,25.5,77,10.6,0.0,5,mostly cloudy
2025-06-24,29.3,25.7,78,16.2,0.0,5,mostly cloudy
2025-06-25,29.6,25.0,76,10.7,0.0,5,mostly cloudy
2025-06-26,30.5,25.0,76,14.4,0.0,5,mostly cloudy
2025-06-27,29.7,24.9,74,11.4,0.0,4,partly cloudy
2025-06-28,30.3,25.0,77,8.4,0.0,5,mostly cloudy
2025-06-29,30.6,26.5,79,14.0,2.5,5,light rain
2025-06-30,28.8,25.0,74,13.8,0.0,6,mostly cloudy
2025-07-01,28.8,25.0,73,18.0,0.0,4,partly cloudy
2025-07-02,28.8,24.9,71,14.6,0.0,4,partly cloudy
2025-07-03,30.1,24.7,67,11.3,0.0,4,partly cloudy
2025-07-04,30.1,24.0,76,11.2,0.0,5,mostly cloudy
2025-07-05,29.9,24.2,79,13.3,11.4,4,rainy
2025-07-06,30.5,26.0,78,11.0,0.0,4,partly cloudy
2025-07-07,30.6,27.0,80,12.1,0.0,5,mostly cloudy
2025-07-08,30.4,26.6,76,11.9,0.0,5,mostly cloudy
2025-07-09,29.5,26.0,72,14.1,0.0,5,mostly cloudy
2025-07-10,29.7,25.5,75,14.3,0.0,6,mostly cloudy
2025-07-11,32.6,25.8,76,14.2,0.0,4,partly cloudy
2025-07-12,30.9,26.0,82,15.3,1.0,6,light rain
2025-07-13,29.9,26.0,72,12.8,0.0,6,mostly cloudy
2025-07-14,30.0,26.0,74,10.1,0.0,5,mostly cloudy
2025-07-15,30.4,26.0,73,12.1,0.0,5,mostly cloudy
2025-07-16,30.8,25.3,82,9.5,4.1,5,light rain
2025-07-17,32.0,25.9,78,14.5,0.3,5,light rain
2025-07-18,31.2,26.7,79,11.8,0.0,4,partly cloudy
2025-07-19,31.7,27.5,75,13.3,0.0,5,mostly cloudy
2025-07-20,31.6,27.6,78,12.1,0.0,5,mostly cloudy
2025-07-21,30.5,27.0,73,12.8,0.0,5,mostly cloudy
2025-07-22,30.6,26.0,76,11.6,0.0,3,partly cloudy
2025-07-23,31.7,27.9,74,13.3,0.0,5,mostly cloudy
2025-07-24,30.2,26.7,70,18.1,0.0,6,mostly cloudy
2025-07-25,30.1,26.0,67,12.7,0.0,5,mostly cloudy
2025-07-26,30.6,25.5,66,8.4,0.0,4,partly cloudy
2025-07-27,30.4,25.8,71,10.0,0.0,4,partly cloudy
2025-07-28,31.0,24.0,76,10.4,0.0,4,partly cloudy
2025-07-29,33.0,27.0,72,12.3,0.0,4,partly cloudy
2025-07-30,32.0,27.5,78,14.1,0.0,4,partly cloudy
2025-07-31,31.0,27.0,71,12.5,0.0,4,partly cloudy
2025-08-01,32.0,26.9,70,9.0,0.0,4,partly cloudy
2025-08-02,31.1,27.0,75,12.8,0.0,5,mostly cloudy
2025-08-03,31.2,27.0,76,11.0,0.0,6,mostly cloudy
2025-08-04,30.8,26.9,80,12.8,0.0,5,mostly cloudy
2025-08-05,31.3,27.0,76,9.7,0.0,5,mostly cloudy
2025-08-06,32.5,26.7,77,8.4,0.0,4,partly cloudy
2025-08-07,31.8,28.0,76,12.7,0.0,4,partly cloudy
2025-08-08,32.0,27.8,76,13.7,0.0,5,mostly cloudy
2025-08-09,33.7,24.1,77,8.4,3.0,6,light rain
2025-08-10,31.0,25.8,82,26.8,9.7,6,rainy
2025-08-11,31.6,26.0,81,16.5,2.8,6,light rain
2025-08-12,31.7,26.1,79,16.0,8.4,4,rainy
2025-08-13,30.9,27.0,80,9.8,0.0,5,mostly cloudy
2025-08-14,28.2,24.0,82,9.7,0.0,5,mostly cloudy
2025-08-15,28.0,25.0,91,6.1,14.2,6,rainy
2025-08-16,30.5,25.0,86,10.0,82.0,5,rainy
2025-08-17,30.7,25.6,86,16.7,99.3,5,rainy
2025-08-18,30.6,25.0,82,11.9,2.8,5,light rain
2025-08-19,31.1,25.7,83,8.2,3.0,6,light rain
2025-08-20,31.1,25.5,82,13.9,0.0,5,mostly cloudy
2025-08-21,30.6,23.0,84,11.6,20.3,6,rainy
2025-08-22,30.0,23.9,86,11.1,21.1,6,rainy
2025-08-23,30.3,23.9,82,11.5,4.1,5,light rain
2025-08-24,30.4,23.9,83,9.7,0.5,5,light rain
2025-08-25,30.2,27.8,82,11.2,0.0,5,mostly cloudy
2025-08-26,30.0,27.5,80,8.7,0.0,5,mostly cloudy
2025-08-27,31.0,28.0,75,10.9,0.4,5,light rain
2025-08-28,29.0,26.0,80,6.5,1.9,7,light rain
2025-08-29,31.0,26.6,78,9.5,1.6,6,light rain
2025-08-30,31.0,26.0,82,9.7,1.6,4,light rain
2025-08-31,31.0,28.0,80,12.5,0.0,5,mostly cloudy
2025-09-01,32.0,23.0,81,11.5,0.3,6,light rain
2025-09-02,30.0,25.0,83,8.4,1.2,6,light rain
2025-09-03,30.0,27.0,79,11.0,0.0,6,mostly cloudy
2025-09-04,30.0,27.0,78,9.3,0.0,5,mostly cloudy
2025-09-05,30.0,27.6,78,13.4,0.7,6,light rain
2025-09-06,31.0,28.0,74,10.7,0.4,6,light rain
2025-09-07,29.0,27.0,82,7.8,3.2,7,light rain
2025-09-08,30.0,26.6,84,10.1,1.8,7,light rain
2025-09-09,29.0,25.0,90,7.2,4.9,7,light rain
2025-09-10,30.0,25.0,87,8.4,0.5,5,light rain
2025-09-11,31.0,24.0,86,8.4,13.5,5,rainy
2025-09-12,30.0,25.0,89,5.0,20.6,5,rainy
2025-09-13,31.0,26.0,87,9.0,0.0,4,partly cloudy
2025-09-14,31.0,27.0,81,8.0,0.2,4,light rain
2025-09-15,32.0,24.0,81,11.1,0.0,4,partly cloudy
2025-09-16,31.0,25.0,83,13.0,8.6,5,rainy
2025-09-17,31.0,26.0,81,9.8,0.1,4,light rain
2025-09-18,31.0,25.0,79,10.3,0.4,5,light rain
2025-09-19,31.0,25.0,83,11.6,4.2,3,light rain
2025-09-20,32.0,27.0,78,9.8,0.0,3,partly cloudy
2025-09-21,32.0,28.0,77,10.0,0.0,4,partly cloudy
2025-09-22,31.0,28.0,79,12.4,0.0,5,mostly cloudy
2025-09-23,31.0,27.2,78,11.6,0.5,5,light rain
2025-09-24,30.0,25.0,84,6.9,0.0,4,partly cloudy
2025-09-25,31.0,24.0,83,7.7,1.7,4,light rain
2025-09-26,31.0,26.6,82,11.6,0.0,5,mostly cloudy
2025-09-27,31.0,27.0,82,13.0,0.0,4,partly cloudy
2025-09-28,32.0,28.0,80,9.4,0.0,4,partly cloudy
2025-09-29,31.0,26.0,82,7.8,0.4,4,light rain
